No,A カテゴリ,B カテゴリ,機種コード,Cカテゴリ　[中古機械情報百貨店],,,,
,,,'05-99-15,回転センター,260,回転センター,29,工作機械周辺機器
,,,'05-99-99,その他工作機械周辺機器,261,その他工作機械周辺機器,29,工作機械周辺機器
7,プレス,電動C型プレス,'07-01-01,（0T～）プレス,44,電動C型プレス,9,プレス
,Presses,Gap Frame Press,'07-01-02,（10T～）プレス,44,電動C型プレス,9,プレス
,,,'07-01-03,（30T～）プレス,44,電動C型プレス,9,プレス
,,,'07-01-04,（50T～）プレス,44,電動C型プレス,9,プレス
,,,'07-01-05,（80T～）プレス,44,電動C型プレス,9,プレス
,,,'07-01-06,（100T～）プレス,44,電動C型プレス,9,プレス
,,,'07-01-07,（200T～・不明）プレス,44,電動C型プレス,9,プレス
,,電動門型プレス,'07-02-01,（0T～）門型プレス,45,電動門型プレス,9,プレス
,,Straight Side Press,'07-02-02,（10T～）門型プレス,45,電動門型プレス,9,プレス
,,,'07-02-03,（100T～）門型プレス,45,電動門型プレス,9,プレス
,,,'07-02-04,（1000T～・不明）門型プレス,45,電動門型プレス,9,プレス
,,油圧プレス,'07-03-01,（0T～）油圧プレス,46,油圧プレス,9,プレス
,,Hydraulic Press,'07-03-02,（10T～）油圧プレス,46,油圧プレス,9,プレス
,,,'07-03-03,（100T～）油圧プレス,46,油圧プレス,9,プレス
,,,'07-03-04,（1000T～・不明）油圧プレス,46,油圧プレス,9,プレス
,,(～T)鍛造プレス,'07-04-00,,47,鍛造プレス,9,プレス
,,(～T)トランスファープレス,'07-05-00,,48,トランスファープレス,9,プレス
,,プレス附帯機械,'07-10-01,リール（スタンド）,262,リールスタンド,34,プレス附帯機械
,,Accessory for Press,'07-10-02,リール・レベラー,263,リール・レベラー,34,プレス附帯機械
,,,'07-10-03,レベラー（600w以下）,264,レベラー,34,プレス附帯機械
,,,'07-10-04,レベラー・フィーダー,265,レベラー・フィーダー,34,プレス附帯機械
,,,'07-10-05,フィーダー,266,フィーダー,34,プレス附帯機械
,,,'07-10-06,コイルクレードル,267,コイルクレードル,34,プレス附帯機械
,,,'07-10-07,ターンテーブル,268,ターンテーブル,34,プレス附帯機械
,,,'07-10-99,その他プレス附帯設備,49,その他プレス附帯設備,34,プレス附帯機械
,,その他プレス,'07-99-01,（～T）エアープレス,269,エアープレス,35,その他プレス
,,Other Presses,'07-99-02,（～T）フリクションプレス,270,フリクションプレス,35,その他プレス
,,,'07-99-03,（～T）ホーニングプレス,271,ホーニングプレス,35,その他プレス
,,,07-99-04,（～T）非鉄押出機,272,非鉄押出機,35,その他プレス
,,,'07-99-05,（～T）ロータリープレス,273,ロータリープレス,35,その他プレス
,,,'07-99-06,（～T）ハンマープレス,274,ハンマープレス,35,その他プレス
,,,'07-99-07,ダイキャストマシン,275,ダイキャストマシン,35,その他プレス
,,,'07-99-08,リベッティングマシン（カシメ機）,221,リベッティングマシン(カシメ機),25,鉄骨加工機
,,,'07-99-09,ボルト・ナットフォーマー,276,ボルト・ナットフォーマー,35,その他プレス
,,,'07-99-10,エキセンプレス（ハンドプレス）,277,エキセンプレス（ハンドプレス）,35,その他プレス
,,,'07-99-11,ケトバシプレス（フートプレス）,278,ケトバシプレス（フートプレス）,35,その他プレス
,,,'07-99-99,その他プレス,50,その他プレス,35,その他プレス
9,板金機械,板切断機,'09-01-01,（0m～）メカシャーリング,128,メカシャーリング,19,切断機
,Sheet Metal Machinery,Sheet Metal Shearing,'09-01-02,（2.0m～）メカシャーリング,128,メカシャーリング,19,切断機
,,,'09-01-03,（3.0m～）メカシャーリング,128,メカシャーリング,19,切断機
,,,'09-01-04,（4.0m～・不明）メカシャーリング,128,メカシャーリング,19,切断機
,,,'09-01-05,（0m～）油圧シャーリング,129,油圧シャーリング,19,切断機
,,,'09-01-06,（2.0m～）油圧シャーリング,129,油圧シャーリング,19,切断機
,,,'09-01-07,（3.0m～・不明）油圧シャーリング,129,油圧シャーリング,19,切断機
,,,'09-01-08,バイブロシャー,130,バイブロシャー,19,切断機
,,,'09-01-09,Vカットマシン,131,Vカットマシン,19,切断機
,,,'09-01-10,スクラップカッター,132,スクラップカッター,19,切断機
,,,'09-01-11,バリ取機,133,バリ取り機,19,切断機
,,,'09-01-12,コーナーシャー,134,コーナーシャー,19,切断機
,,,'09-01-13,板切断機付属品,135,板切断機付属品,19,切断機
,,,'09-01-99,その他板切断機,136,その他板切断機,19,切断機
,,板溶断機,'09-02-01,ガス溶断機（アイトレーサー）,137,ガス溶断機（アイトレーサー）,20,板溶断機
,,Sheet Metal Cutting,'09-02-02,プラズマ加工機（切断機）,138,板プラズマ溶断機,20,板溶断機
,,,'09-02-03,レーザー加工機,139,レーザー加工機,20,板溶断機
,,,'09-02-99,溶断機付属品,140,溶断機付属品,20,板溶断機
,,板金プレス,'09-03-01,タレットパンチ,141,タレットパンチ,21,鈑金プレス
,,Sheet Metal Punch Press,'09-03-02,パンチレーザー複合機,142,パンチレーザー複合機,21,鈑金プレス
,,,'09-03-04,(～T)セットプレス,143,セットプレス,21,鈑金プレス
,,,'09-03-05,鈑金プレス付属品,144,鈑金プレス付属品,21,鈑金プレス
,,,'09-03-99,その他板金プレス,392,その他板金プレス,21,鈑金プレス
,,板ベンダー,'09-04-01,（～m）メカベンダー,145,メカベンダー,22,板ベンダー
,,Sheet Metal Bending Machine,'09-04-02,（0m～）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-03,（1.0m～）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-04,（2.0m～）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-05,（3.0m～）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-06,（4.0m～）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-07,（10m～・不明）油圧ベンダー,146,油圧ベンダー,22,板ベンダー
,,,'09-04-08,万能油圧ベンダー,147,万能油圧ベンダー,22,板ベンダー
,,,'09-04-09,サーボベンダー,190,サーボベンダー,22,板ベンダー
,,,'09-04-10,（～m）三本ロールベンダー,148,三本ロールベンダー,22,板ベンダー
,,,'09-04-11,ベンダー付属品,149,ベンダー付属品,22,板ベンダー
,,,'09-04-99,その他ベンダー,150,その他ベンダー,22,板ベンダー
,,コイル加工ライン,'09-05-01,（板幅 ～m）スリッターライン,279,スリッターライン,36,コイル加工ライン
,,Coil Processing Line,'09-05-02,（板幅 ～m）レベラー・シャーライン,280,レベラー・シャーライン,36,コイル加工ライン
,,,'09-05-03,成形ライン,281,成形ライン,36,コイル加工ライン
,,,'09-05-04,パイプ成形ライン,282,パイプ成形ライン,36,コイル加工ライン
,,,'09-05-99,その他コイル加工ライン,283,その他コイル加工ライン,36,コイル加工ライン
,,その他板金機械,'09-99-00,,151,その他鈑金機械,23,その他鈑金機械
11,鉄骨加工機械,鉄骨切断機  ,'11-01-01,（幅 0mm～）バンドソー,152,バンドソー,24,鉄骨切断機
,Structural Fabrication Machinery,Structural Fabrication Cutting Machine,'11-01-02,（300mm～）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-03,（500mm～）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-04,（1000mm～・不明）バンドソー,152,バンドソー,24,鉄骨切断機
,,,'11-01-05,コンターマシン,153,コンターマシン,24,鉄骨切断機
,,,'11-01-06,弓鋸盤,154,弓鋸盤,24,鉄骨切断機
,,,'11-01-07,丸鋸盤（メタルソー）,155,丸鋸盤（メタルソー）,24,鉄骨切断機
,,,'11-01-08,アルミ切断機,156,アルミ切断機,24,鉄骨切断機
,,,'11-01-09,砥石切断機（高速・ファインカット）,157,砥石切断機（高速・ファインカット）,24,鉄骨切断機
,,,'11-01-10,パイプ切断機,158,パイプ切断機,24,鉄骨切断機
,,,'11-01-11,丸棒（鉄筋）切断機,160,その他鉄骨切断機,24,鉄骨切断機
,,,'11-01-99,その他鉄骨切断機,160,その他鉄骨切断機,24,鉄骨切断機
,,鉄骨加工機,'11-02-01,ドリルマシン（オートボーラー）,161,ドリルマシン（オートボーラー）,25,鉄骨加工機
,,Structural Fabrication Processing Machine,'11-02-02,開先機,162,開先加工機,25,鉄骨加工機
,,,'11-02-03,回転機（H鋼反転機・ターニングロール）,163,回転機（H鋼反転機・ターニングロール）,25,鉄骨加工機
,,,'11-02-04,ポジショナー,164,ポジショナー,25,鉄骨加工機
,,,'11-02-05,マグボール盤（アトラ）,165,マグボール盤（アトラ）,25,鉄骨加工機
,,,'11-02-06,アイアンワーカー（ビームワーカー・ユニットワーカー）,166,アイアンワーカー（ビームワーカー・ユニットワーカー）,25,鉄骨加工機
,,,'11-02-07,油圧パンチャー,167,油圧パンチャー,25,鉄骨加工機
,,,'11-02-08,ポンチング（マルチワーカー）,168,ポンチング（マルチワーカー）,25,鉄骨加工機
,,,'11-02-09,パイプネジ切機,169,パイプネジ切り機,25,鉄骨加工機
,,,'11-02-10,ショットブラスト（板・形鋼）,170,ショットブラスト（板・形鋼）,25,鉄骨加工機
,,,'11-02-11,鉄骨加工治具,171,その他鉄骨加工機,25,鉄骨加工機
,,鉄骨ベンダー,'11-04-01,パイプベンダー,180,パイプベンダー,27,鉄骨ベンダー
,,Structural Fabrication Bending Machine,'11-04-02,丸棒ベンダー（鉄筋）,181,丸棒ベンダー,27,鉄骨ベンダー
,,,'11-04-03,アングルベンダー,182,アングルベンダー,27,鉄骨ベンダー
,,,'11-04-04,万能曲げ機,183,万能曲げ機,27,鉄骨ベンダー
,,,'11-04-05,リングフォーマー,184,リングフォーマー,27,鉄骨ベンダー
,,,'11-04-99,その他鉄骨ベンダー,185,その他鉄骨ベンダー,27,鉄骨ベンダー
,,その他鉄骨加工機械,'11-99-00,,186,その他鉄骨加工機械,28,その他鉄骨加工機
13,プラスチック機械,射出成形機,'13-01-01,（0T～）射出成形機,,,,
,Plastic Processing Machinery,Injection Molding Machine,'13-01-02,（10T～）射出成形機,,,,
,,,'13-01-03,（100T～）射出成形機,,,,
