大沼ID,Ｎｏ,大分類,中分類,機械名,大沼コード,マシンライフジャンルID,マシンライフジャンル名,
595,２４,２４プレス(油圧),2401-：油圧プレス,卓上油圧プレス,2403-12,46,油圧プレス,
596,２４,２４プレス(油圧),2401-：油圧プレス,万能油圧プレス,2404-11,46,油圧プレス,
597,２４,２４プレス(油圧),2401-：油圧プレス,ＮＣセットプレス,2405-01,143,セットプレス,
598,２４,２４プレス(油圧),2401-：油圧プレス,セットプレス,2405-11,143,セットプレス,
599,２４,２４プレス(油圧),2401-：油圧プレス,ﾀﾞｲｽﾎﾟｯﾃｨﾝｸﾞﾌﾟﾚｽ,2406-11,46,油圧プレス,
600,２４,２４プレス(油圧),2401-：油圧プレス,粉末成形プレス,2407-11,46,油圧プレス,
601,２４,２４プレス(油圧),2401-：油圧プレス,油圧へら絞り機,2408-11,46,油圧プレス,
602,２４,２４プレス(油圧),2401-：油圧プレス,油圧曲がり矯正機,2409-11,46,油圧プレス,
603,２４,２４プレス(油圧),2401-：油圧プレス,油圧パンチャー,2410-11,167,油圧パンチャー,
604,２４,２４プレス(油圧),2401-：油圧プレス,,2499-11,46,油圧プレス,1
605,２５,２５ベンダー,2501-：ベンダー・ロール,ＮＣ油圧ベンダー,2501-01,146,油圧ベンダー,
606,２５,２５ベンダー,2501-：ベンダー・ロール,油圧ベンダー,2501-11,146,油圧ベンダー,
607,２５,２５ベンダー,2501-：ベンダー・ロール,万能油圧ベンダー,2502-11,147,万能油圧ベンダー,
608,２５,２５ベンダー,2501-：ベンダー・ロール,ＮＣメカベンダー,2503-01,145,メカベンダー,
609,２５,２５ベンダー,2501-：ベンダー・ロール,メカベンダー,2503-11,145,メカベンダー,
610,２５,２５ベンダー,2501-：ベンダー・ロール,鉄筋ベンダー,2504-11,181,丸棒ベンダー,
611,２５,２５ベンダー,2501-：ベンダー・ロール,アングルベンダー,2505-11,182,アングルベンダー,
612,２５,２５ベンダー,2501-：ベンダー・ロール,ＮＣパイプベンダー,2506-01,180,パイプベンダー,
613,２５,２５ベンダー,2501-：ベンダー・ロール,パイプベンダー,2506-11,180,パイプベンダー,
614,２５,２５ベンダー,2501-：ベンダー・ロール,,2509-99,150,その他ベンダー,
615,２５,２５ロール関係,2501-：ベンダー・ロール,ﾍﾞﾝﾃﾞｨﾝｸﾞﾛｰﾙ(３本),2511-11,148,三本ロールベンダー,
616,２５,２５ロール関係,2501-：ベンダー・ロール,ﾍﾞﾝﾃﾞｨﾝｸﾞﾛｰﾙ(４本),2511-12,148,三本ロールベンダー,
617,２５,２５ロール関係,2501-：ベンダー・ロール,フォーミングロール,2512-11,150,その他ベンダー,
618,２５,２５ロール関係,2501-：ベンダー・ロール,圧延ロール,2513-11,338,圧延機,
619,２５,２５ロール関係,2501-：ベンダー・ロール,伸線機,2514-11,353,伸線機,
620,２５,２５ロール関係,2501-：ベンダー・ロール,,2519-99,150,その他ベンダー,1
621,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,油圧シャーリング,2601-11,129,油圧シャーリング,
622,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ｷﾞｬｯﾌﾟシャーリング,2602-11,128,メカシャーリング,
623,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,オートシャーリング,2603-01,128,メカシャーリング,
624,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,スケアシャーリング,2603-11,128,メカシャーリング,
625,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,コーナーシャー,2611-11,134,コーナーシャー,
626,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,アイアンワーカー,2612-11,166,アイアンワーカー(ビームワーカー・ユニットワーカー),
627,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ｱﾝｸﾞﾙｶｯﾀｰ&ﾎﾟﾝﾁﾝｸﾞ,2613-11,168,ポンチング(マルチワーカー),
628,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,アングルカッター,2614-11,168,ポンチング(マルチワーカー),
629,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ポンチングマシン,2615-11,168,ポンチング(マルチワーカー),
630,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,鋼材切断機,2621-11,159,丸棒(鉄筋)切断機,
631,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ビレットシャー,2622-11,159,丸棒(鉄筋)切断機,
632,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ギロチンシャー,2623-11,128,メカシャーリング,
633,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,スクラップカッター,2624-11,132,スクラップカッター,
634,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,スクラップシャー,2625-11,128,メカシャーリング,
635,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,サークルシャー,2626-11,130,バイブロシャー,
636,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,バイブロシャー,2627-11,130,バイブロシャー,
637,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ＮＣパンチプレス,2631-01,141,タレットパンチ,
638,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,パンチングプレス,2631-11,392,その他板金プレス,
639,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ユニパンチプレス,2631-12,392,その他板金プレス,
640,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,ニブリングマシン,2632-11,136,その他板切断機,
641,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,スリッター,2641-11,279,スリッターライン,
642,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,直線切断機,2642-11,358,直線切断機,
643,２６,２６シャーリング,2601-：シャー・ポンチ・カッター,,2699-99,136,その他板切断機,1
644,２７,２７鍛造機,2701-：鍛造プレス関係,精密鍛造プレス,2701-11,47,鍛造プレス,
645,２７,２７鍛造機,2701-：鍛造プレス関係,ﾅｯｸﾙｼﾞｮｲﾝﾄﾌﾟﾚｽ,2701-12,47,鍛造プレス,
646,２７,２７鍛造機,2701-：鍛造プレス関係,マイプレス,2701-13,47,鍛造プレス,
647,２７,２７鍛造機,2701-：鍛造プレス関係,ﾎｯﾄｽﾀﾝﾋﾟﾝｸﾞプレス,2701-21,47,鍛造プレス,
648,２７,２７鍛造機,2701-：鍛造プレス関係,油圧鍛造プレス,2702-11,47,鍛造プレス,
649,２７,２７鍛造機,2701-：鍛造プレス関係,ハンマー,2703-11,274,ハンマープレス,
650,２７,２７鍛造機,2701-：鍛造プレス関係,ヘッター,2704-11,274,ハンマープレス,
651,２７,２７鍛造機,2701-：鍛造プレス関係,スウェージングﾏｼﾝ,2705-11,355,スウェジングマシン,
652,２７,２７鍛造機,2701-：鍛造プレス関係,ホージングロール,2706-11,355,スウェジングマシン,
653,２７,２７鍛造機,2701-：鍛造プレス関係,ホーマー,2707-11,184,リングフォーマー,
654,２７,２７鍛造機,2701-：鍛造プレス関係,,2799-99,50,その他プレス,
655,２８,２８プレスその他,2811-：エアープレス･卓上･その他,エアープレス,2811-11,269,エアープレス,
656,２８,２８プレスその他,2811-：エアープレス･卓上･その他,ロータリープレス,2812-11,273,ロータリープレス,
657,２８,２８プレスその他,2811-：エアープレス･卓上･その他,卓上プレス,2813-11,44,電動C型プレス,
658,２８,２８プレスその他,2811-：エアープレス･卓上･その他,,2819-99,50,その他プレス,1
659,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,アーバープレス,2821-11,277,エキセンプレス(ハンドプレス),
660,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,ネコプレス,2821-21,277,エキセンプレス(ハンドプレス),
661,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,ケトバシ,2822-11,278,ケトバシプレス(フートプレス),
662,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,手動ベンダー,2823-11,277,エキセンプレス(ハンドプレス),
663,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,足踏みシャーリング,2824-11,278,ケトバシプレス(フートプレス),
664,２８,２８プレスその他,2821-：手動プレス・ケトバシ関係,,2829-99,50,その他プレス,1
665,２８,２８プレスその他,2831 ：リベッティングマシン,ﾘﾍﾞｯﾃｨﾝｸﾞﾏｼﾝ(立型),2831-11,221,リベッティングマシン(カシメ機),
666,２８,２８プレスその他,2831 ：リベッティングマシン,ﾘﾍﾞｯﾃｨﾝｸﾞﾏｼﾝ(横型),2831-21,221,リベッティングマシン(カシメ機),
667,２８,２８プレスその他,2831 ：リベッティングマシン,,2839-99,221,リベッティングマシン(カシメ機),
668,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,プレス用ロボット,2901-11,362,プレス用ロボット,
669,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,給材装置・搬送装置,2901-12,382,棚・ストッカー,
670,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,ｱﾝｺｲﾗｰ(ﾚﾍﾞﾗｰ付),2911-11,265,レベラー・フィーダー,
671,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,ｱﾝｺｲﾗｰ(ﾚﾍﾞﾗｰﾅｼ),2911-12,267,コイルクレードル,
672,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,ｸﾚｰﾄﾞﾙ(ﾚﾍﾞﾗｰ付),2912-11,265,レベラー・フィーダー,
673,２９,２９プレス関連機,2901-：プレス関連機器Ⅰ,ｸﾚｰﾄﾞﾙ(ﾚﾍﾞﾗｰﾅｼ),2912-12,267,コイルクレードル,
674,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,ロールフィーダー,2913-11,265,レベラー・フィーダー,
675,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,エアーフィーダー,2913-12,265,レベラー・フィーダー,
676,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,レベラー,2914-11,339,レベラー,
677,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,リールスタンド,2915-11,262,リールスタンド,
678,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,ダイクッション,2921-11,49,その他プレス附帯設備,
679,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,防振クッション,2922-11,255,防振台,
680,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,プレス用安全装置,2923-11,49,その他プレス附帯設備,
681,２９,２９プレス関連機,2913-：プレス関連機器Ⅱ,　　その他ﾌﾟﾚｽ機器,2999-99,49,その他プレス附帯設備,
